ai_task,base_model,hardware,cloud_region,dataset_size,epochs,carbon_footprint,training_time,performance_score,failure_risk
Computer Vision,ResNet-50,NVIDIA V100,us-east-1,3492,6,47.9,39.6,80.8,Medium
Recommendation,GPT-3.5,TPU v4,us-east-1,403,21,113.3,19.4,86.5,Low
Computer Vision,ResNet-101,CPU,us-east-1,2115,19,108,65,69.8,High
Recommendation,ViT-Base,NVIDIA V100,ap-southeast-1,1409,31,150,65,75.7,Medium
Computer Vision,BERT-base,NVIDIA A100,ap-southeast-1,1165,10,72.7,11.2,94.1,Low
Computer Vision,GPT-3.5,TPU v4,eu-west-1,2553,27,150,41.7,93.1,Low
NLP,ResNet-101,NVIDIA A100,ap-southeast-1,785,6,62.1,4.3,91.9,Low
Recommendation,ResNet-101,NVIDIA RTX 4090,eu-west-1,427,18,24.7,17.5,87.5,Low
NLP,ResNet-101,NVIDIA V100,us-west-2,440,34,150,29.4,81.8,Medium
NLP,GPT-3.5,TPU v4,us-west-2,1028,8,45.8,10.6,91.9,Low
Speech Recognition,BERT-base,NVIDIA RTX 4090,ap-southeast-1,1561,22,150,50.2,92.2,Low
Speech Recognition,BERT-large,CPU,us-west-2,2030,34,150,65,81.8,High
Recommendation,BERT-base,NVIDIA RTX 4090,ap-southeast-1,1535,7,79.8,19.9,77.5,Medium
Speech Recognition,ResNet-50,NVIDIA A100,eu-west-1,2883,32,150,65,91,Low
Computer Vision,GPT-3.5,NVIDIA V100,eu-west-3,3363,19,150,65,90.6,Low
Speech Recognition,ResNet-50,NVIDIA A100,ap-southeast-1,2421,16,150,65,88.2,Low
Recommendation,GPT-3.5,NVIDIA RTX 4090,us-east-1,815,28,140,31.1,86.9,Low
NLP,ResNet-50,NVIDIA V100,us-west-2,2199,7,60.8,29.4,85.8,Low
NLP,ViT-Base,TPU v4,us-west-2,1899,24,150,65,91.4,Low
NLP,BERT-base,NVIDIA A100,eu-west-1,1547,14,150,53.4,89.2,Low
Recommendation,GPT-3.5,NVIDIA RTX 4090,us-west-2,2906,29,150,65,85.7,Low
NLP,ResNet-101,TPU v4,eu-west-1,2088,17,150,54,90.3,Low
Computer Vision,BERT-large,NVIDIA A100,us-west-2,2402,34,150,65,90.8,Low
Computer Vision,ViT-Base,TPU v4,us-west-2,2448,22,150,65,97,Low
NLP,ResNet-101,NVIDIA A100,us-west-2,1911,16,150,39,95.3,Low
Recommendation,ResNet-101,NVIDIA V100,ap-southeast-1,2758,11,101.9,65,86.2,Low
Recommendation,GPT-3.5,NVIDIA V100,ap-southeast-1,555,6,12.8,5.3,84.3,Medium
Computer Vision,GPT-3.5,NVIDIA RTX 4090,eu-west-3,1621,11,150,34.5,88.7,Low
Recommendation,ResNet-50,NVIDIA A100,us-west-2,2443,3,56.9,21,94.6,Low
Computer Vision,ViT-Base,NVIDIA V100,ap-southeast-1,1165,34,150,65,82.5,Medium
Recommendation,BERT-large,CPU,us-west-2,2994,31,150,65,70.8,High
Recommendation,ResNet-101,TPU v4,us-east-1,417,22,118.1,9.3,90.1,Low
Speech Recognition,GPT-3.5,NVIDIA V100,us-east-1,1192,31,150,23.8,89.4,Low
Speech Recognition,BERT-base,NVIDIA RTX 4090,eu-west-1,546,18,45.8,24,89.4,Low
Computer Vision,BERT-large,NVIDIA A100,eu-west-3,1672,5,86,9.4,91,Low
NLP,ViT-Base,TPU v4,us-west-2,2120,28,150,65,93.7,Low
Computer Vision,BERT-base,CPU,us-east-1,3180,28,115.6,65,66.7,High
Speech Recognition,ResNet-101,NVIDIA RTX 4090,eu-west-3,2199,23,150,65,89.7,Low
Recommendation,ResNet-50,NVIDIA V100,us-east-1,1787,8,115.4,17.6,82.5,Medium
Computer Vision,GPT-3.5,CPU,us-east-1,1153,12,35.5,48.6,66.5,High
NLP,ResNet-50,NVIDIA RTX 4090,us-west-2,1367,13,144.3,46.6,88.8,Low
Recommendation,GPT-3.5,NVIDIA V100,us-east-1,1130,32,150,65,88.6,Low
NLP,ResNet-101,NVIDIA A100,us-west-2,2999,31,150,65,94.2,Low
NLP,ViT-Base,CPU,us-east-1,2163,3,6.5,20.7,70,High
Speech Recognition,ResNet-101,TPU v4,us-west-2,1847,14,150,42.6,90.9,Low
NLP,GPT-3.5,TPU v4,eu-west-3,2779,7,150,40.7,94.4,Low
Computer Vision,ResNet-50,NVIDIA A100,eu-west-3,1760,27,150,65,88.2,Low
Computer Vision,ResNet-50,NVIDIA V100,us-west-2,484,21,83.8,20,85.8,Low
Speech Recognition,GPT-3.5,NVIDIA RTX 4090,us-east-1,625,16,35.7,17.9,91.1,Low
Computer Vision,BERT-large,CPU,eu-west-1,1736,34,89.8,65,72.4,High
NLP,BERT-base,TPU v4,eu-west-3,973,16,76.7,20.8,97,Low
Speech Recognition,ResNet-101,NVIDIA A100,eu-west-3,862,9,31.9,9.3,93.3,Low
Computer Vision,ResNet-101,NVIDIA V100,ap-southeast-1,3264,7,150,54.5,92.3,Low
Computer Vision,ViT-Base,NVIDIA A100,us-east-1,3123,33,150,65,84.9,Medium
Computer Vision,ViT-Base,NVIDIA RTX 4090,us-west-2,2587,23,150,65,91.4,Low
Computer Vision,ResNet-101,TPU v4,eu-west-1,1080,22,150,45.6,88.9,Low
Computer Vision,BERT-base,TPU v4,us-east-1,757,14,95.4,16.7,95,Low
Computer Vision,BERT-base,NVIDIA V100,us-west-2,403,32,65.2,15.6,90.7,Low
NLP,ResNet-101,NVIDIA V100,eu-west-1,2440,8,150,57.2,88.9,Low
Speech Recognition,ResNet-101,TPU v4,eu-west-1,421,13,33,3.2,94.3,Low
Recommendation,ViT-Base,NVIDIA A100,eu-west-1,1048,7,72,6.9,85.1,Low
Speech Recognition,BERT-base,TPU v4,eu-west-1,148,34,29.2,3,93,Low
Speech Recognition,ViT-Base,CPU,us-west-2,1005,32,58.8,65,69.5,High
Computer Vision,BERT-large,NVIDIA A100,eu-west-3,2295,31,150,65,92,Low
NLP,ResNet-50,NVIDIA V100,eu-west-3,958,4,10.6,6.5,91.6,Low
Speech Recognition,ViT-Base,NVIDIA A100,eu-west-3,2160,12,150,38.2,93.8,Low
Recommendation,ViT-Base,NVIDIA V100,eu-west-1,484,33,75,43.4,86,Low
Computer Vision,BERT-base,NVIDIA RTX 4090,ap-southeast-1,1617,15,140.9,58.2,84.7,Medium
NLP,BERT-base,TPU v4,us-east-1,458,20,123.2,9.7,96.9,Low
Speech Recognition,ResNet-101,CPU,eu-west-1,1779,22,41.5,65,76.5,High
Computer Vision,ResNet-101,NVIDIA RTX 4090,eu-west-3,3564,23,150,65,81.5,Medium
Speech Recognition,ViT-Base,NVIDIA RTX 4090,us-west-2,1866,6,37.7,32.2,90.2,Low
Computer Vision,BERT-large,NVIDIA V100,ap-southeast-1,828,24,46.2,29.7,82.8,Medium
Recommendation,GPT-3.5,TPU v4,us-west-2,2406,18,150,25.9,84.4,Medium
Computer Vision,ResNet-50,TPU v4,us-west-2,3276,18,150,65,94.5,Low
NLP,ResNet-101,CPU,us-east-1,2832,27,119.9,65,78.7,High
Computer Vision,ViT-Base,NVIDIA RTX 4090,ap-southeast-1,2704,15,150,65,94,Low
NLP,ViT-Base,NVIDIA RTX 4090,ap-southeast-1,517,34,150,44.4,91.7,Low
Computer Vision,ResNet-101,NVIDIA RTX 4090,us-west-2,148,20,6.1,4.2,87.9,Low
Computer Vision,ResNet-50,NVIDIA V100,us-east-1,2415,23,150,65,92.6,Low
Speech Recognition,BERT-base,NVIDIA V100,ap-southeast-1,2624,30,150,65,87.1,Low
Speech Recognition,ResNet-101,NVIDIA A100,eu-west-3,1681,10,130.9,34.7,93.1,Low
Recommendation,GPT-3.5,NVIDIA V100,us-west-2,694,22,144.6,43.3,81.5,Medium
Recommendation,ViT-Base,TPU v4,eu-west-1,307,7,23.5,3,89.3,Low
Recommendation,ViT-Base,NVIDIA A100,eu-west-3,1705,11,150,28.1,88.2,Low
Computer Vision,GPT-3.5,TPU v4,us-east-1,1221,31,150,65,89.7,Low
Computer Vision,ResNet-50,CPU,us-east-1,2262,22,86.6,65,80.5,High
Recommendation,BERT-base,NVIDIA A100,eu-west-1,452,9,29.8,3.3,91.7,Low
Speech Recognition,ResNet-50,NVIDIA V100,ap-southeast-1,2917,18,150,65,82.4,Medium
Speech Recognition,BERT-large,NVIDIA RTX 4090,us-west-2,2134,7,36.9,20.8,90.2,Low
Computer Vision,ResNet-101,TPU v4,eu-west-3,2860,11,150,54.2,92,Low
Speech Recognition,BERT-large,TPU v4,eu-west-1,613,25,79.6,6,87.5,Low
NLP,ResNet-50,NVIDIA RTX 4090,eu-west-3,179,25,41.3,8.2,94.9,Low
Computer Vision,ResNet-50,TPU v4,eu-west-3,2718,8,150,36.3,85,Low
Computer Vision,ResNet-50,TPU v4,ap-southeast-1,550,35,150,14.2,92.9,Low
Speech Recognition,ResNet-101,TPU v4,us-east-1,1361,7,63.4,16.6,90.9,Low
Computer Vision,GPT-3.5,NVIDIA A100,us-east-1,3436,11,150,65,88.8,Low
Speech Recognition,ResNet-101,TPU v4,ap-southeast-1,251,11,30.1,6.7,85.7,Low
NLP,ViT-Base,NVIDIA A100,eu-west-3,1131,8,68.5,18.3,88.5,Low
Speech Recognition,ViT-Base,CPU,ap-southeast-1,2715,4,8,46,76.3,High
NLP,ResNet-50,TPU v4,eu-west-1,306,22,71.3,13.4,88.8,Low
Speech Recognition,ResNet-50,NVIDIA RTX 4090,eu-west-3,2055,14,150,64.3,95.3,Low
NLP,BERT-large,CPU,eu-west-1,1374,16,31.1,65,71.7,High
Recommendation,BERT-base,CPU,us-west-2,401,19,8.4,38.4,65,High
NLP,BERT-large,NVIDIA RTX 4090,eu-west-1,844,18,80.6,20.2,89,Low
NLP,BERT-base,CPU,us-west-2,2172,5,6.9,64,73.9,High
Computer Vision,BERT-large,TPU v4,eu-west-3,2028,22,150,65,90.3,Low
Speech Recognition,GPT-3.5,TPU v4,us-east-1,751,11,111.8,13.1,96.5,Low
Computer Vision,ResNet-50,NVIDIA V100,ap-southeast-1,613,16,92.7,25.1,92.8,Low
Computer Vision,BERT-base,NVIDIA RTX 4090,us-east-1,1722,25,150,61.2,92.5,Low
NLP,BERT-base,CPU,us-east-1,2512,31,53.6,65,78.8,High
NLP,ResNet-101,TPU v4,us-east-1,2867,25,150,30.2,92.4,Low
NLP,BERT-base,NVIDIA RTX 4090,us-east-1,2131,20,150,32.6,88.6,Low
Computer Vision,ViT-Base,NVIDIA A100,eu-west-3,1471,32,150,31.9,93.4,Low
Speech Recognition,ResNet-101,NVIDIA V100,eu-west-3,2868,25,150,47.6,88.3,Low
Computer Vision,ResNet-50,NVIDIA V100,us-east-1,808,32,47.1,19.5,80.5,Medium
Recommendation,ViT-Base,NVIDIA RTX 4090,eu-west-3,696,4,16.3,7.6,88.8,Low
Recommendation,ResNet-101,TPU v4,eu-west-3,1364,23,150,33.6,91.1,Low
Speech Recognition,BERT-large,NVIDIA A100,eu-west-1,343,6,17.7,3,89.3,Low
Computer Vision,GPT-3.5,NVIDIA V100,us-east-1,1945,20,150,65,80.1,Medium
NLP,BERT-large,CPU,eu-west-3,449,21,10.8,27,72.3,High
Recommendation,ViT-Base,NVIDIA V100,ap-southeast-1,2429,32,150,65,89.3,Low
Speech Recognition,BERT-base,NVIDIA RTX 4090,ap-southeast-1,1089,4,51.7,7.4,87.7,Low
Speech Recognition,BERT-base,NVIDIA A100,eu-west-1,2245,26,150,42,84.7,Medium
NLP,ViT-Base,NVIDIA V100,ap-southeast-1,1594,22,150,65,92.8,Low
Speech Recognition,ResNet-50,NVIDIA V100,us-east-1,2262,15,150,65,82.5,Medium
Recommendation,GPT-3.5,NVIDIA A100,ap-southeast-1,1255,9,85,9.4,92.2,Low
Speech Recognition,ResNet-50,NVIDIA RTX 4090,us-west-2,1582,29,150,65,88.3,Low
Computer Vision,ViT-Base,NVIDIA RTX 4090,eu-west-3,1927,10,150,34,87.2,Low
NLP,BERT-large,NVIDIA V100,us-west-2,2067,22,150,65,87.3,Low
Computer Vision,BERT-base,NVIDIA V100,eu-west-1,3384,30,150,65,81.1,Medium
Recommendation,ResNet-50,NVIDIA A100,eu-west-3,1767,7,138.4,13.1,90.4,Low
Speech Recognition,BERT-base,TPU v4,us-west-2,2763,22,150,63.8,89.5,Low
Computer Vision,GPT-3.5,CPU,ap-southeast-1,1525,15,52.2,65,70.2,High
NLP,BERT-large,NVIDIA A100,ap-southeast-1,2244,24,150,65,94.5,Low
Computer Vision,ResNet-101,NVIDIA RTX 4090,us-east-1,1898,16,150,65,92.1,Low
Computer Vision,GPT-3.5,TPU v4,ap-southeast-1,3505,19,150,60.9,92.5,Low
Recommendation,BERT-large,NVIDIA RTX 4090,eu-west-1,2128,34,150,65,85.2,Low
NLP,ResNet-101,NVIDIA A100,eu-west-3,2327,35,150,65,93.7,Low
NLP,ViT-Base,NVIDIA RTX 4090,us-west-2,2033,4,23.9,18,84.1,Medium
Recommendation,ResNet-101,NVIDIA A100,eu-west-1,2110,3,24.1,15.1,88.7,Low
NLP,ResNet-50,NVIDIA A100,ap-southeast-1,916,34,150,28.1,88.8,Low
Computer Vision,BERT-base,TPU v4,us-east-1,1059,14,63.2,27.3,96.4,Low
Speech Recognition,GPT-3.5,NVIDIA A100,us-west-2,1269,22,150,44.5,94.3,Low
NLP,BERT-base,NVIDIA A100,ap-southeast-1,2884,26,150,65,88.8,Low
Recommendation,ResNet-50,TPU v4,us-east-1,939,7,51.9,5.6,92.8,Low
Speech Recognition,GPT-3.5,NVIDIA A100,us-west-2,2117,35,150,57.2,82.7,Medium
Speech Recognition,BERT-large,CPU,us-east-1,2153,20,53.9,65,65.3,High
Recommendation,GPT-3.5,NVIDIA RTX 4090,ap-southeast-1,1086,24,150,65,86,Low
Speech Recognition,GPT-3.5,TPU v4,eu-west-1,579,11,25.8,6.4,90.9,Low
Speech Recognition,GPT-3.5,NVIDIA A100,eu-west-3,2095,14,150,49.6,85.9,Low
Computer Vision,BERT-base,CPU,eu-west-1,331,24,7.7,46.6,71,High
Speech Recognition,GPT-3.5,NVIDIA V100,eu-west-3,2395,5,87.3,9.8,84.4,Medium
NLP,ViT-Base,NVIDIA RTX 4090,eu-west-1,2938,31,150,65,89.1,Low
NLP,BERT-base,NVIDIA V100,ap-southeast-1,2715,17,150,65,79.6,Medium
Computer Vision,ResNet-50,NVIDIA RTX 4090,eu-west-3,999,22,60.8,63.2,90.2,Low
NLP,ResNet-101,NVIDIA A100,eu-west-3,990,21,150,60,95.2,Low
Computer Vision,ResNet-50,NVIDIA A100,us-west-2,1143,34,134.2,65,94.4,Low
Speech Recognition,ResNet-50,NVIDIA RTX 4090,ap-southeast-1,1942,22,150,65,92.4,Low
Recommendation,ViT-Base,TPU v4,ap-southeast-1,330,10,18.6,3,83.6,Medium
Computer Vision,ViT-Base,TPU v4,us-west-2,506,34,150,22.2,92.4,Low
Recommendation,BERT-base,CPU,us-east-1,2509,26,141.7,65,65,High
NLP,BERT-large,NVIDIA RTX 4090,us-east-1,1079,20,150,44,88.4,Low
NLP,ResNet-50,NVIDIA V100,eu-west-1,191,19,18.3,9,84.3,Medium
Speech Recognition,GPT-3.5,NVIDIA RTX 4090,eu-west-1,1331,8,91.9,13.7,90.1,Low
Recommendation,BERT-large,NVIDIA V100,eu-west-1,1848,13,75.8,65,81.2,Medium
Computer Vision,GPT-3.5,NVIDIA V100,us-west-2,2563,24,150,65,85.4,Low
Recommendation,ViT-Base,NVIDIA V100,eu-west-3,2144,8,43.2,12.3,90.8,Low
Recommendation,BERT-large,TPU v4,us-east-1,279,19,67.2,7.2,89.7,Low
Computer Vision,GPT-3.5,CPU,us-east-1,1932,13,35.9,61.6,77.8,High
NLP,ResNet-50,NVIDIA RTX 4090,eu-west-3,2842,12,150,65,85.6,Low
Recommendation,BERT-base,NVIDIA V100,eu-west-1,2027,14,97.6,65,83.5,Medium
Recommendation,BERT-large,TPU v4,us-west-2,1986,6,71.4,20.5,92.8,Low
Recommendation,GPT-3.5,NVIDIA V100,ap-southeast-1,2074,26,150,65,87.3,Low
NLP,ResNet-50,NVIDIA A100,us-west-2,1985,21,150,65,94.3,Low
Speech Recognition,ResNet-50,TPU v4,eu-west-1,2808,28,150,65,93.3,Low
Speech Recognition,ResNet-50,CPU,eu-west-1,1249,17,31.2,65,65,High
Computer Vision,ResNet-50,CPU,us-west-2,3124,34,150,65,72,High
Speech Recognition,ResNet-50,NVIDIA V100,us-east-1,194,33,60.5,5.3,83,Medium
Speech Recognition,GPT-3.5,CPU,eu-west-1,863,33,40.2,65,66.2,High
Computer Vision,BERT-base,CPU,eu-west-1,1476,5,5.3,30.6,67,High
Recommendation,GPT-3.5,TPU v4,us-west-2,1686,25,150,57.3,88.1,Low
Recommendation,ViT-Base,NVIDIA A100,ap-southeast-1,2849,27,150,65,82.8,Medium
Speech Recognition,ViT-Base,NVIDIA RTX 4090,eu-west-3,2031,6,50.8,23.6,94.2,Low
NLP,ResNet-101,NVIDIA A100,us-west-2,2566,25,150,65,90.7,Low
Speech Recognition,ResNet-50,NVIDIA V100,us-west-2,1416,30,150,65,78.4,Medium
NLP,BERT-base,NVIDIA A100,eu-west-1,1626,20,150,20.4,89.9,Low
Speech Recognition,ResNet-50,NVIDIA RTX 4090,eu-west-1,901,18,56.9,36.7,80.3,Medium
NLP,BERT-large,NVIDIA RTX 4090,eu-west-1,1730,15,127.2,65,88.3,Low
Recommendation,BERT-base,NVIDIA A100,us-west-2,2408,13,150,65,91.5,Low
Computer Vision,BERT-base,NVIDIA A100,eu-west-1,3126,10,89.1,61.3,86.1,Low
Recommendation,BERT-large,NVIDIA V100,ap-southeast-1,1896,30,150,65,85,Medium
Speech Recognition,ResNet-101,NVIDIA V100,ap-southeast-1,832,17,74.9,46.8,88.7,Low
Speech Recognition,ViT-Base,NVIDIA RTX 4090,ap-southeast-1,215,18,11.7,3,90.7,Low
NLP,ResNet-101,NVIDIA V100,eu-west-1,1217,17,150,65,83.7,Medium
Speech Recognition,ViT-Base,CPU,eu-west-1,319,8,5,9.2,69.2,High
NLP,ViT-Base,NVIDIA A100,us-west-2,1605,16,150,48.2,87.6,Low
NLP,GPT-3.5,CPU,ap-southeast-1,710,34,41.2,65,78,High
Computer Vision,ViT-Base,CPU,eu-west-3,147,15,5.5,11.5,66.5,High
Speech Recognition,BERT-large,NVIDIA V100,us-west-2,1767,9,57.4,34,81.6,Medium
NLP,BERT-large,NVIDIA RTX 4090,us-west-2,2746,31,150,65,91.6,Low
Recommendation,ViT-Base,NVIDIA A100,eu-west-1,276,20,28.2,7.7,91,Low
NLP,BERT-large,TPU v4,eu-west-3,1668,9,82.1,15.4,92.5,Low
Recommendation,ResNet-50,NVIDIA A100,us-west-2,2083,8,61.2,25.6,87,Low
Computer Vision,BERT-base,NVIDIA A100,us-east-1,3313,18,150,43.2,96.3,Low
Recommendation,BERT-base,NVIDIA A100,us-west-2,1117,30,150,61.7,78.1,Medium
Speech Recognition,BERT-large,NVIDIA RTX 4090,us-east-1,1934,31,150,57.3,81.6,Medium
Computer Vision,ViT-Base,TPU v4,us-west-2,625,22,55.1,20.7,88,Low
NLP,ViT-Base,NVIDIA RTX 4090,us-west-2,411,26,49.5,8.8,87,Low
Computer Vision,ViT-Base,NVIDIA V100,ap-southeast-1,562,17,28.3,21.3,84.6,Medium
Recommendation,BERT-large,TPU v4,ap-southeast-1,599,11,114.8,7.3,84.2,Medium
Recommendation,GPT-3.5,NVIDIA V100,eu-west-3,1140,8,55.3,18.6,83.4,Medium
Speech Recognition,BERT-base,NVIDIA V100,us-west-2,751,32,150,64.1,88.1,Low
Speech Recognition,ViT-Base,CPU,eu-west-3,2577,24,150,65,75.4,High
Speech Recognition,BERT-base,CPU,ap-southeast-1,1195,11,32.3,63.8,68.3,High
Computer Vision,ResNet-101,CPU,eu-west-1,1676,31,118.3,65,80.8,High
NLP,BERT-base,NVIDIA V100,eu-west-1,1619,32,150,65,86.3,Low
Computer Vision,BERT-large,NVIDIA V100,eu-west-3,1022,7,86.2,22,94.5,Low
Recommendation,BERT-base,CPU,eu-west-1,1946,8,34.1,65,72.9,High
NLP,ResNet-50,NVIDIA A100,us-east-1,2675,23,150,63.9,89.8,Low
Computer Vision,BERT-large,NVIDIA RTX 4090,eu-west-3,2083,9,108.9,47.6,94.8,Low
Speech Recognition,GPT-3.5,CPU,us-east-1,1682,27,109.2,65,69.1,High
Speech Recognition,BERT-base,CPU,us-east-1,1460,26,28,65,73.3,High
NLP,ResNet-101,NVIDIA RTX 4090,eu-west-3,1663,20,150,61.7,91.3,Low
NLP,ViT-Base,CPU,eu-west-1,2860,20,69.5,65,79.5,High
Recommendation,BERT-large,NVIDIA RTX 4090,eu-west-1,1067,16,78.8,13.3,92.2,Low
NLP,BERT-large,NVIDIA A100,us-east-1,1345,27,150,59.5,90.1,Low
NLP,BERT-base,NVIDIA RTX 4090,eu-west-3,1323,10,35.4,17.9,95.4,Low
Recommendation,BERT-large,CPU,eu-west-3,1889,19,90,65,65,High
Computer Vision,GPT-3.5,CPU,us-east-1,356,10,10.6,11.2,80.6,High
Recommendation,GPT-3.5,NVIDIA A100,ap-southeast-1,118,11,16.7,3.2,85.7,Low
Computer Vision,ResNet-101,CPU,ap-southeast-1,2744,25,150,65,72.3,High
Recommendation,GPT-3.5,NVIDIA RTX 4090,ap-southeast-1,385,5,22.9,3.7,89.3,Low
Computer Vision,GPT-3.5,CPU,us-east-1,1758,15,26.9,65,68.3,High
Computer Vision,ViT-Base,NVIDIA V100,us-west-2,622,32,125.6,33.3,89.5,Low
Computer Vision,ResNet-101,NVIDIA V100,eu-west-1,2580,10,138.6,45.8,80.2,Medium
Recommendation,BERT-base,NVIDIA RTX 4090,eu-west-3,2002,28,141.2,65,93.4,Low
Speech Recognition,BERT-large,NVIDIA V100,us-east-1,933,33,150,53.9,91.2,Low
Speech Recognition,ResNet-101,NVIDIA V100,eu-west-1,2346,15,150,65,88.6,Low
Computer Vision,BERT-base,NVIDIA V100,us-east-1,1608,23,150,31.8,86.1,Low
NLP,BERT-large,CPU,eu-west-1,2735,34,150,65,75.1,High
Speech Recognition,BERT-base,NVIDIA RTX 4090,ap-southeast-1,759,4,15,9,86.6,Low
NLP,ViT-Base,NVIDIA A100,eu-west-3,886,6,45.2,3,97,Low
Recommendation,BERT-large,NVIDIA A100,eu-west-1,2379,35,150,65,88.6,Low
Speech Recognition,ResNet-101,TPU v4,ap-southeast-1,767,16,136.3,7.9,97,Low
Computer Vision,ResNet-50,NVIDIA V100,us-west-2,145,15,10.6,6.2,85.3,Low
Recommendation,ResNet-50,NVIDIA A100,us-east-1,1364,33,150,49.4,86,Low
NLP,GPT-3.5,NVIDIA RTX 4090,eu-west-3,685,14,41,22.4,85.4,Low
Speech Recognition,ResNet-101,NVIDIA RTX 4090,us-west-2,1476,27,126,65,88.8,Low
Computer Vision,BERT-large,TPU v4,eu-west-3,3200,34,150,65,97,Low
Speech Recognition,BERT-large,NVIDIA V100,eu-west-3,1195,25,150,65,89.2,Low
Computer Vision,ViT-Base,NVIDIA A100,eu-west-3,2097,22,150,56.8,90.4,Low
Computer Vision,BERT-large,CPU,ap-southeast-1,430,3,5,9.7,68.8,High
Computer Vision,BERT-large,CPU,eu-west-3,832,18,12.4,65,81,High
Computer Vision,GPT-3.5,NVIDIA A100,eu-west-1,1726,25,150,65,86.8,Low
Recommendation,ViT-Base,CPU,us-east-1,2150,34,139.4,65,74.8,High
Computer Vision,BERT-base,NVIDIA V100,us-west-2,3410,29,150,56.6,87.1,Low
Recommendation,ResNet-101,NVIDIA V100,eu-west-3,868,16,149.6,11.5,82.4,Medium
Recommendation,ViT-Base,NVIDIA RTX 4090,eu-west-3,666,21,126.3,41.2,85.8,Low
NLP,ResNet-101,CPU,eu-west-3,2625,3,5,28.4,70.6,High
NLP,BERT-base,TPU v4,us-west-2,114,10,9.7,3,88.9,Low
NLP,BERT-large,NVIDIA RTX 4090,us-west-2,2126,30,150,65,89.1,Low
NLP,BERT-large,NVIDIA RTX 4090,ap-southeast-1,957,18,150,18.3,84.6,Medium
Speech Recognition,BERT-base,NVIDIA RTX 4090,eu-west-1,2892,5,95.5,16.3,91.8,Low
Speech Recognition,ViT-Base,NVIDIA V100,ap-southeast-1,2144,21,150,65,91.9,Low
Recommendation,BERT-base,CPU,eu-west-3,1955,32,129,65,65.9,High
Computer Vision,ViT-Base,NVIDIA RTX 4090,us-east-1,1410,31,150,37.1,90.3,Low
NLP,GPT-3.5,NVIDIA A100,us-west-2,161,28,19,10.4,90.9,Low
Recommendation,BERT-base,NVIDIA A100,eu-west-3,273,18,53.5,4.7,97,Low
Recommendation,ViT-Base,NVIDIA A100,us-east-1,1881,6,145.9,9.9,86.5,Low
Recommendation,BERT-base,NVIDIA V100,us-west-2,797,26,31,27.9,80.8,Medium
NLP,BERT-base,NVIDIA A100,us-west-2,894,34,121.7,17.6,88.8,Low
NLP,ResNet-50,NVIDIA A100,eu-west-3,1443,4,66.5,15.3,95.5,Low
NLP,BERT-base,TPU v4,eu-west-3,2599,27,150,32.5,91.1,Low
Recommendation,BERT-base,TPU v4,us-east-1,428,35,59.2,26.5,88.8,Low
Speech Recognition,GPT-3.5,TPU v4,us-west-2,2272,17,150,57.7,93.3,Low
Speech Recognition,ResNet-50,NVIDIA V100,us-west-2,1565,5,70.5,11.8,86.6,Low
Speech Recognition,BERT-base,NVIDIA V100,eu-west-1,2106,24,107.9,65,90.7,Low
Speech Recognition,BERT-large,CPU,us-west-2,2544,35,137.4,65,81.4,High
Computer Vision,ResNet-50,TPU v4,eu-west-3,2161,9,150,31,96.7,Low
Computer Vision,ViT-Base,CPU,us-west-2,712,31,40.3,65,69.7,High
NLP,ViT-Base,CPU,eu-west-3,2683,17,76,65,77.8,High
Computer Vision,BERT-base,CPU,eu-west-1,1820,18,27.7,65,72,High
Speech Recognition,ResNet-101,NVIDIA V100,eu-west-3,2595,16,150,65,83.6,Medium
Computer Vision,BERT-large,NVIDIA RTX 4090,ap-southeast-1,2145,31,150,65,87.1,Low
Speech Recognition,ResNet-101,NVIDIA V100,ap-southeast-1,224,26,56.2,16.8,88.8,Low
Computer Vision,ViT-Base,NVIDIA RTX 4090,eu-west-1,201,24,30.6,4.6,89.8,Low
NLP,GPT-3.5,NVIDIA V100,eu-west-3,120,21,15.7,7.4,90.9,Low
NLP,GPT-3.5,CPU,us-east-1,1090,35,74.6,65,65,High
Recommendation,ResNet-101,NVIDIA A100,eu-west-1,1626,29,150,60.7,85.3,Low
Computer Vision,ResNet-50,CPU,eu-west-3,1525,5,16,18.4,72.4,High
Computer Vision,BERT-large,NVIDIA RTX 4090,eu-west-3,1636,8,68.6,17.9,84.3,Medium
NLP,GPT-3.5,TPU v4,us-west-2,1718,21,150,37.6,95.3,Low
NLP,ResNet-101,NVIDIA A100,eu-west-1,1899,28,150,65,92.1,Low
Speech Recognition,ViT-Base,NVIDIA RTX 4090,eu-west-1,1737,22,150,63,87.7,Low
Recommendation,ResNet-101,CPU,us-west-2,2741,32,69.6,65,71.3,High
Recommendation,ResNet-101,CPU,us-west-2,937,5,8.8,24,73.3,High
Speech Recognition,ViT-Base,NVIDIA A100,ap-southeast-1,1911,23,150,45.6,90.4,Low
Computer Vision,GPT-3.5,TPU v4,us-west-2,1851,30,150,65,89.7,Low
Computer Vision,ViT-Base,CPU,eu-west-1,630,34,34.3,65,73.6,High
NLP,ResNet-50,NVIDIA RTX 4090,ap-southeast-1,1215,33,135.4,65,94.2,Low
NLP,BERT-base,NVIDIA RTX 4090,eu-west-1,2578,21,150,65,81.1,Medium
Computer Vision,ResNet-101,NVIDIA A100,ap-southeast-1,3162,33,150,65,90.9,Low
